"","CNTRY_NAME","COWCODE","GWCODE","year","cname","ccode"
"3","Venezuela",101,101,1960,"VENEZUELA, BOLIVARIAN REPUBLIC OF",101
"6","Argentina",160,160,1960,"ARGENTINA",160
"7","Bolivia",145,145,1960,"BOLIVIA, PLURINATIONAL STATE OF",145
"8","Brazil",140,140,1960,"BRAZIL",140
"9","Chile",155,155,1960,"CHILE",155
"10","Ecuador",130,130,1960,"ECUADOR",130
"11","Paraguay",150,150,1960,"PARAGUAY",150
"12","Peru",135,135,1960,"PERU",135
"13","Uruguay",165,165,1960,"URUGUAY",165
"15","Guatemala",90,90,1960,"GUATEMALA",90
"16","Mexico",70,70,1960,"MEXICO",70
"22","Dominican Republic",42,42,1960,"DOMINICAN REPUBLIC",42
"23","Haiti",41,41,1960,"HAITI",41
"27","Colombia",100,100,1960,"COLOMBIA",100
"28","Costa Rica",94,94,1960,"COSTA RICA",94
"29","Cuba",40,40,1960,"CUBA",40
"30","El Salvador",92,92,1960,"EL SALVADOR",92
"31","Honduras",91,91,1960,"HONDURAS",91
"32","Nicaragua",93,93,1960,"NICARAGUA",93
"33","Panama",95,95,1960,"PANAMA",95
"36","Iceland",395,395,1960,"ICELAND",395
"37","Ireland",205,205,1960,"IRELAND",205
"38","United Kingdom",200,200,1960,"UNITED KINGDOM",200
"40","Cote d'Ivoire",437,437,1960,"COTE D'IVOIRE",437
"41","Ghana",452,452,1960,"GHANA",452
"42","Liberia",450,450,1960,"LIBERIA",450
"44","Portugal",235,235,1960,"PORTUGAL",235
"45","Spain",230,230,1960,"SPAIN",230
"46","Burkina Faso",439,439,1960,"BURKINA FASO",439
"47","Guinea",438,438,1960,"GUINEA",438
"49","Mali",432,432,1960,"MALI",432
"50","Mauritania",435,435,1960,"MAURITANIA",435
"51","Senegal",433,433,1960,"SENEGAL",433
"57","Mongolia",712,712,1960,"MONGOLIA",712
"58","Sudan",625,625,1960,"SUDAN",625
"60","Iraq",645,645,1960,"IRAQ",645
"61","Israel",666,666,1960,"ISRAEL",666
"62","Jordan",663,663,1960,"JORDAN",663
"64","Norway",385,385,1960,"NORWAY",385
"66","Sweden",380,380,1960,"SWEDEN",380
"68","Andorra",232,232,1960,"ANDORRA",232
"70","Central African Republic",482,482,1960,"CENTRAL AFRICAN REPUBLIC",482
"71","Libya",620,620,1960,"LIBYAN ARAB JAMAHIRIYA",620
"72","Monaco",221,221,1960,"MONACO",221
"73","Tunisia",616,616,1960,"TUNISIA",616
"74","Benin",434,434,1960,"BENIN",434
"75","Chad",483,483,1960,"CHAD",483
"78","Niger",436,436,1960,"NIGER",436
"81","Togo",461,461,1960,"TOGO",461
"82","Albania",339,339,1960,"ALBANIA",339
"85","Italy",325,325,1960,"ITALY",325
"88","San Marino",331,331,1960,"SAN MARINO",331
"90","Bulgaria",355,355,1960,"BULGARIA",355
"91","Cyprus",352,352,1960,"CYPRUS",352
"92","Egypt",651,651,1960,"EGYPT",651
"94","Greece",350,350,1960,"GREECE",350
"95","Lebanon",660,660,1960,"LEBANON",660
"96","Syria",652,652,1960,"SYRIAN ARAB REPUBLIC",652
"97","Turkey",640,640,1960,"TURKEY",640
"98","Austria",305,305,1960,"AUSTRIA",305
"100","Denmark",390,390,1960,"DENMARK",390
"101","Hungary",310,310,1960,"HUNGARY",310
"102","Poland",290,290,1960,"POLAND",290
"105","Belgium",211,211,1960,"BELGIUM",211
"106","France",220,220,1960,"FRANCE",220
"107","Liechtenstein",223,223,1960,"LIECHTENSTEIN",223
"108","Luxembourg",212,212,1960,"LUXEMBOURG",212
"109","Netherlands",210,210,1960,"NETHERLANDS",210
"110","Switzerland",225,225,1960,"SWITZERLAND",225
"113","Finland",375,375,1960,"FINLAND",375
"117","Romania",360,360,1960,"ROMANIA",360
"120","Oman",698,698,1960,"OMAN",698
"121","Somalia",520,520,1960,"SOMALIA",520
"122","Sri Lanka",780,780,1960,"SRI LANKA",780
"129","Iran",630,630,1960,"IRAN, ISLAMIC REPUBLIC OF",630
"134","Afghanistan",700,700,1960,"AFGHANISTAN",700
"136","Nepal",790,790,1960,"NEPAL",790
"140","Bhutan",760,760,1960,"BHUTAN",760
"143","Japan",740,740,1960,"JAPAN",740
"144","North Korea",731,731,1960,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",731
"146","Philippines",840,840,1960,"PHILIPPINES",840
"147","South Korea",732,732,1960,"KOREA, REPUBLIC OF",732
"148","Cambodia",811,811,1960,"CAMBODIA",811
"149","Laos",812,812,1960,"LAO PEOPLE'S DEMOCRATIC REPUBLIC",812
"150","Myanmar",775,775,1960,"MYANMAR",775
"151","Thailand",800,800,1960,"THAILAND",800
"169","Congo",484,484,1960,"CONGO, REPUBLIC OF",484
"170","Congo, Democratic Republic of",490,490,1960,"CONGO, THE DEMOCRATIC REPUBLIC OF",490
"172","Gabon",481,481,1960,"GABON",481
"174","New Zealand",920,920,1960,"NEW ZEALAND",920
"175","Madagascar",580,580,1960,"MADAGASCAR",580
"178","Indonesia",850,850,1960,"INDONESIA",850
"180","Australia",900,900,1960,"AUSTRALIA",900
"186","Canada",20,20,1960,"CANADA",20
"188","Germany Federal Republic",260,260,1960,"GERMANY",260
"189","Germany Democratic Republic",265,265,1960,"German Democratic Republic",265
"190","Czechoslovakia",315,315,1960,"Czechoslovakia",315
"191","Yugoslavia",345,345,1960,"Yugoslavia",345
"192","USSR",365,365,1960,"RUSSIAN FEDERATION",365
"195","Ethiopia",530,530,1960,"ETHIOPIA",530
"196","South Africa",560,560,1960,"SOUTH AFRICA",560
"200","Yemen Arab Republic",678,678,1960,"YEMEN",678
"202","Taiwan",713,713,1960,"TAIWAN, PROVINCE OF CHINA",713
"203","China",710,710,1960,"CHINA",710
"204","Pakistan",770,770,1960,"PAKISTAN",770
"205","Republic of Vietnam",817,817,1960,"VIETNAM",817
"206","Vietnam",816,816,1960,"VIETNAM",816
"208","Malaysia",820,820,1960,"MALAYSIA",820
"215","Cameroon",471,471,1960,"CAMEROON",471
"216","Nigeria",475,475,1960,"NIGERIA",475
"219","Morocco",600,600,1960,"MOROCCO",600
"227","India",750,750,1960,"INDIA",750
"238","United States",2,2,1960,"UNITED STATES",2
"239","Saudi Arabia",670,670,1960,"SAUDI ARABIA",670
"34","Venezuela",101,101,1961,"VENEZUELA, BOLIVARIAN REPUBLIC OF",101
"63","Argentina",160,160,1961,"ARGENTINA",160
"76","Bolivia",145,145,1961,"BOLIVIA, PLURINATIONAL STATE OF",145
"83","Brazil",140,140,1961,"BRAZIL",140
"93","Chile",155,155,1961,"CHILE",155
"103","Ecuador",130,130,1961,"ECUADOR",130
"111","Paraguay",150,150,1961,"PARAGUAY",150
"123","Peru",135,135,1961,"PERU",135
"131","Uruguay",165,165,1961,"URUGUAY",165
"152","Guatemala",90,90,1961,"GUATEMALA",90
"161","Mexico",70,70,1961,"MEXICO",70
"221","Dominican Republic",42,42,1961,"DOMINICAN REPUBLIC",42
"231","Haiti",41,41,1961,"HAITI",41
"271","Colombia",100,100,1961,"COLOMBIA",100
"281","Costa Rica",94,94,1961,"COSTA RICA",94
"291","Cuba",40,40,1961,"CUBA",40
"301","El Salvador",92,92,1961,"EL SALVADOR",92
"311","Honduras",91,91,1961,"HONDURAS",91
"321","Nicaragua",93,93,1961,"NICARAGUA",93
